----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
        Identity-353            [-1, 240, 1, 1]               0
Conv2dStaticSamePadding-354             [-1, 10, 1, 1]           2,410
MemoryEfficientSwish-355             [-1, 10, 1, 1]               0
        Identity-356             [-1, 10, 1, 1]               0
Conv2dStaticSamePadding-357            [-1, 240, 1, 1]           2,640
        Identity-358          [-1, 240, 16, 16]               0
Conv2dStaticSamePadding-359           [-1, 40, 16, 16]           9,600
     BatchNorm2d-360           [-1, 40, 16, 16]              80
     MBConvBlock-361           [-1, 40, 16, 16]               0
        Identity-362           [-1, 40, 16, 16]               0
Conv2dStaticSamePadding-363          [-1, 240, 16, 16]           9,600
     BatchNorm2d-364          [-1, 240, 16, 16]             480
MemoryEfficientSwish-365          [-1, 240, 16, 16]               0
       ZeroPad2d-366          [-1, 240, 17, 17]               0
Conv2dStaticSamePadding-367            [-1, 240, 8, 8]           2,160
     BatchNorm2d-368            [-1, 240, 8, 8]             480
MemoryEfficientSwish-369            [-1, 240, 8, 8]               0
        Identity-370            [-1, 240, 1, 1]               0
Conv2dStaticSamePadding-371             [-1, 10, 1, 1]           2,410
MemoryEfficientSwish-372             [-1, 10, 1, 1]               0
        Identity-373             [-1, 10, 1, 1]               0
Conv2dStaticSamePadding-374            [-1, 240, 1, 1]           2,640
        Identity-375            [-1, 240, 8, 8]               0
Conv2dStaticSamePadding-376             [-1, 80, 8, 8]          19,200
     BatchNorm2d-377             [-1, 80, 8, 8]             160
     MBConvBlock-378             [-1, 80, 8, 8]               0
        Identity-379             [-1, 80, 8, 8]               0
Conv2dStaticSamePadding-380            [-1, 480, 8, 8]          38,400
     BatchNorm2d-381            [-1, 480, 8, 8]             960
MemoryEfficientSwish-382            [-1, 480, 8, 8]               0
       ZeroPad2d-383          [-1, 480, 10, 10]               0
Conv2dStaticSamePadding-384            [-1, 480, 8, 8]           4,320
     BatchNorm2d-385            [-1, 480, 8, 8]             960
MemoryEfficientSwish-386            [-1, 480, 8, 8]               0
        Identity-387            [-1, 480, 1, 1]               0
Conv2dStaticSamePadding-388             [-1, 20, 1, 1]           9,620
MemoryEfficientSwish-389             [-1, 20, 1, 1]               0
        Identity-390             [-1, 20, 1, 1]               0
Conv2dStaticSamePadding-391            [-1, 480, 1, 1]          10,080
        Identity-392            [-1, 480, 8, 8]               0
Conv2dStaticSamePadding-393             [-1, 80, 8, 8]          38,400
     BatchNorm2d-394             [-1, 80, 8, 8]             160
     MBConvBlock-395             [-1, 80, 8, 8]               0
        Identity-396             [-1, 80, 8, 8]               0
Conv2dStaticSamePadding-397            [-1, 480, 8, 8]          38,400
     BatchNorm2d-398            [-1, 480, 8, 8]             960
MemoryEfficientSwish-399            [-1, 480, 8, 8]               0
       ZeroPad2d-400          [-1, 480, 10, 10]               0
Conv2dStaticSamePadding-401            [-1, 480, 8, 8]           4,320
     BatchNorm2d-402            [-1, 480, 8, 8]             960
MemoryEfficientSwish-403            [-1, 480, 8, 8]               0
        Identity-404            [-1, 480, 1, 1]               0
Conv2dStaticSamePadding-405             [-1, 20, 1, 1]           9,620
MemoryEfficientSwish-406             [-1, 20, 1, 1]               0
        Identity-407             [-1, 20, 1, 1]               0
Conv2dStaticSamePadding-408            [-1, 480, 1, 1]          10,080
        Identity-409            [-1, 480, 8, 8]               0
Conv2dStaticSamePadding-410             [-1, 80, 8, 8]          38,400
     BatchNorm2d-411             [-1, 80, 8, 8]             160
     MBConvBlock-412             [-1, 80, 8, 8]               0
        Identity-413             [-1, 80, 8, 8]               0
Conv2dStaticSamePadding-414            [-1, 480, 8, 8]          38,400
     BatchNorm2d-415            [-1, 480, 8, 8]             960
MemoryEfficientSwish-416            [-1, 480, 8, 8]               0
       ZeroPad2d-417          [-1, 480, 12, 12]               0
Conv2dStaticSamePadding-418            [-1, 480, 8, 8]          12,000
     BatchNorm2d-419            [-1, 480, 8, 8]             960
MemoryEfficientSwish-420            [-1, 480, 8, 8]               0
        Identity-421            [-1, 480, 1, 1]               0
Conv2dStaticSamePadding-422             [-1, 20, 1, 1]           9,620
MemoryEfficientSwish-423             [-1, 20, 1, 1]               0
        Identity-424             [-1, 20, 1, 1]               0
Conv2dStaticSamePadding-425            [-1, 480, 1, 1]          10,080
        Identity-426            [-1, 480, 8, 8]               0
Conv2dStaticSamePadding-427            [-1, 112, 8, 8]          53,760
     BatchNorm2d-428            [-1, 112, 8, 8]             224
     MBConvBlock-429            [-1, 112, 8, 8]               0
        Identity-430            [-1, 112, 8, 8]               0
Conv2dStaticSamePadding-431            [-1, 672, 8, 8]          75,264
     BatchNorm2d-432            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-433            [-1, 672, 8, 8]               0
       ZeroPad2d-434          [-1, 672, 12, 12]               0
Conv2dStaticSamePadding-435            [-1, 672, 8, 8]          16,800
     BatchNorm2d-436            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-437            [-1, 672, 8, 8]               0
        Identity-438            [-1, 672, 1, 1]               0
Conv2dStaticSamePadding-439             [-1, 28, 1, 1]          18,844
MemoryEfficientSwish-440             [-1, 28, 1, 1]               0
        Identity-441             [-1, 28, 1, 1]               0
Conv2dStaticSamePadding-442            [-1, 672, 1, 1]          19,488
        Identity-443            [-1, 672, 8, 8]               0
Conv2dStaticSamePadding-444            [-1, 112, 8, 8]          75,264
     BatchNorm2d-445            [-1, 112, 8, 8]             224
     MBConvBlock-446            [-1, 112, 8, 8]               0
        Identity-447            [-1, 112, 8, 8]               0
Conv2dStaticSamePadding-448            [-1, 672, 8, 8]          75,264
     BatchNorm2d-449            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-450            [-1, 672, 8, 8]               0
       ZeroPad2d-451          [-1, 672, 12, 12]               0
Conv2dStaticSamePadding-452            [-1, 672, 8, 8]          16,800
     BatchNorm2d-453            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-454            [-1, 672, 8, 8]               0
        Identity-455            [-1, 672, 1, 1]               0
Conv2dStaticSamePadding-456             [-1, 28, 1, 1]          18,844
MemoryEfficientSwish-457             [-1, 28, 1, 1]               0
        Identity-458             [-1, 28, 1, 1]               0
Conv2dStaticSamePadding-459            [-1, 672, 1, 1]          19,488
        Identity-460            [-1, 672, 8, 8]               0
Conv2dStaticSamePadding-461            [-1, 112, 8, 8]          75,264
     BatchNorm2d-462            [-1, 112, 8, 8]             224
     MBConvBlock-463            [-1, 112, 8, 8]               0
        Identity-464            [-1, 112, 8, 8]               0
Conv2dStaticSamePadding-465            [-1, 672, 8, 8]          75,264
     BatchNorm2d-466            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-467            [-1, 672, 8, 8]               0
       ZeroPad2d-468          [-1, 672, 11, 11]               0
Conv2dStaticSamePadding-469            [-1, 672, 4, 4]          16,800
     BatchNorm2d-470            [-1, 672, 4, 4]           1,344
MemoryEfficientSwish-471            [-1, 672, 4, 4]               0
        Identity-472            [-1, 672, 1, 1]               0
Conv2dStaticSamePadding-473             [-1, 28, 1, 1]          18,844
MemoryEfficientSwish-474             [-1, 28, 1, 1]               0
        Identity-475             [-1, 28, 1, 1]               0
Conv2dStaticSamePadding-476            [-1, 672, 1, 1]          19,488
        Identity-477            [-1, 672, 4, 4]               0
Conv2dStaticSamePadding-478            [-1, 192, 4, 4]         129,024
